"","batches"
"1","SRP010181"
"2","SRP007584"
"3","SRP010181"
"4","SRP007584"
"5","SRP007584"
"6","SRP007584"
"7","SRP007584"
"8","SRP007584"
"9","SRP007584"
"10","SRP007584"
"11","SRP007584"
"12","SRP010181"
"13","SRP007412"
"14","SRP007584"
"15","SRP007584"
"16","SRP008496"
"17","SRP010181"
"18","SRP007584"
"19","SRP007584"
"20","SRP008496"
"21","SRP007584"
"22","SRP007584"
"23","SRP007584"
"24","SRP010181"
"25","SRP010181"
"26","SRP010181"
"27","SRP010181"
"28","SRP010181"
"29","SRP010181"
"30","SRP007584"
"31","SRP007412"
"32","SRP007584"
"33","SRP010181"
"34","SRP010181"
"35","SRP010181"
"36","SRP010181"
"37","SRP010181"
"38","SRP007584"
"39","SRP010181"
"40","SRP010181"
"41","SRP010181"
"42","SRP008496"
"43","SRP008496"
"44","SRP007584"
"45","SRP010181"
"46","SRP008496"
"47","SRP007412"
"48","SRP010181"
"49","SRP010181"
"50","SRP007412"
"51","SRP007584"
"52","SRP007584"
"53","SRP008496"
"54","SRP008496"
"55","SRP008496"
"56","SRP007412"
"57","SRP009123"
"58","SRP010181"
"59","SRP007169"
"60","SRP009123"
"61","SRP010181"
"62","SRP008496"
"63","SRP007412"
"64","SRP007412"
"65","SRP007483"
"66","SRP007412"
"67","SRP009123"
"68","SRP008496"
"69","SRP007412"
"70","SRP009144"
"71","SRP008496"
"72","SRP007483"
"73","SRP009144"
"74","SRP009123"
"75","SRP007412"
"76","SRP007412"
"77","SRP009386"
"78","SRP007483"
"79","SRP007412"
"80","SRP009386"
"81","SRP007483"
"82","SRP007483"
"83","SRP007169"
"84","SRP007483"
"85","SRP009386"
"86","SRP008496"
"87","SRP010181"
"88","SRP007584"
"89","SRP007169"
"90","SRP007412"
"91","SRP007169"
"92","SRP007169"
"93","SRP009123"
"94","SRP009123"
"95","SRP010181"
"96","SRP007412"
"97","SRP010181"
"98","SRP010181"
"99","SRP010181"
"100","SRP010181"
"101","SRP010181"
"102","SRP010181"
"103","SRP010181"
"104","SRP010181"
"105","SRP010181"
"106","SRP010181"
"107","SRP010181"
"108","SRP010181"
"109","SRP010181"
"110","SRP010181"
"111","SRP010181"
"112","SRP010181"
"113","SRP010181"
"114","SRP010181"
"115","SRP010181"
"116","SRP010181"
"117","SRP010181"
"118","SRP010181"
"119","SRP010181"
"120","SRP010181"
"121","SRP010181"
"122","SRP010181"
"123","SRP010181"
"124","SRP010181"
"125","SRP010181"
"126","SRP010181"
"127","SRP010181"
"128","SRP010181"
"129","SRP010181"
"130","SRP010181"
"131","SRP010181"
"132","SRP010181"
"133","SRP010181"
"134","SRP010181"
"135","SRP010181"
"136","SRP010181"
"137","SRP010181"
"138","SRP010181"
"139","SRP010181"
"140","SRP010181"
"141","SRP010181"
"142","SRP010181"
"143","SRP010181"
"144","SRP010181"
"145","SRP010181"
"146","SRP010181"
"147","SRP010181"
"148","SRP010181"
"149","SRP010181"
"150","SRP010181"
"151","SRP010181"
"152","SRP010181"
"153","SRP010181"
"154","SRP010181"
"155","SRP010181"
"156","SRP010181"
"157","SRP010181"
"158","SRP010181"
"159","SRP010181"
"160","SRP010181"
"161","SRP010181"
"162","SRP010181"
"163","SRP010181"
"164","SRP010181"
"165","SRP010181"
"166","SRP010181"
"167","SRP010181"
"168","SRP010181"
"169","SRP010181"
"170","SRP010181"
"171","SRP010181"
"172","SRP010181"
"173","SRP010181"
"174","SRP010181"
"175","SRP010181"
"176","SRP010181"
"177","SRP010181"
"178","SRP010181"
"179","SRP010181"
"180","SRP010181"
"181","SRP010181"
"182","SRP010181"
"183","SRP010181"
"184","SRP010181"
"185","SRP010181"
"186","SRP010181"
"187","SRP010181"
"188","SRP010181"
"189","SRP010181"
"190","SRP010181"
"191","SRP010181"
"192","SRP010181"
"193","SRP010181"
"194","SRP010181"
"195","SRP010181"
"196","SRP010181"
"197","SRP010181"
"198","SRP010181"
"199","SRP010181"
"200","SRP010181"
"201","SRP010181"
"202","SRP010384"
"203","SRP010384"
"204","SRP034831"
"205","SRP034831"
"206","SRP010384"
"207","SRP034831"
"208","SRP034831"
"209","SRP034831"
"210","SRP034831"
"211","SRP034831"
"212","SRP034831"
"213","SRP034831"
"214","SRP034831"
"215","SRP034831"
"216","SRP034831"
"217","SRP034831"
"218","SRP034831"
"219","SRP011924"
"220","SRP011924"
"221","SRP011924"
"222","SRP034831"
"223","SRP034831"
"224","SRP011924"
"225","SRP011924"
"226","SRP011924"
"227","SRP011924"
"228","SRP011924"
"229","SRP011924"
"230","SRP011924"
"231","SRP011924"
"232","SRP011924"
"233","SRP034831"
"234","SRP011924"
"235","SRP011924"
"236","SRP011924"
"237","SRP011924"
"238","SRP011924"
"239","SRP011924"
"240","SRP011924"
"241","SRP011924"
"242","SRP011924"
"243","SRP011924"
"244","SRP011924"
"245","SRP011924"
"246","SRP011924"
"247","SRP011924"
"248","SRP011924"
"249","SRP011924"
"250","SRP011924"
"251","SRP012656"
"252","SRP012656"
"253","SRP012656"
"254","SRP012656"
"255","SRP012656"
"256","SRP012656"
"257","SRP012656"
"258","SRP012656"
"259","SRP012656"
"260","SRP012656"
"261","SRP012656"
"262","SRP012656"
"263","SRP012656"
"264","SRP012656"
"265","SRP012656"
"266","SRP012656"
"267","SRP012656"
"268","SRP015003"
"269","SRP012656"
"270","SRP012656"
"271","SRP012656"
"272","SRP015003"
"273","SRP015003"
"274","SRP015668"
"275","SRP012656"
"276","SRP015003"
"277","SRP015003"
"278","SRP015003"
"279","SRP012656"
"280","SRP015003"
"281","SRP015668"
"282","SRP015003"
"283","SRP015003"
"284","SRP012656"
"285","SRP015668"
"286","SRP015668"
"287","SRP015668"
"288","SRP015668"
"289","SRP015668"
"290","SRP015668"
"291","SRP015668"
"292","SRP015668"
"293","SRP015668"
"294","SRP015668"
"295","SRP015668"
"296","SRP015668"
"297","SRP015668"
"298","SRP015668"
"299","SRP015668"
"300","SRP015668"
"301","SRP015668"
"302","SRP017262"
"303","SRP015668"
"304","SRP017262"
"305","SRP017262"
"306","SRP017262"
"307","SRP019936"
"308","SRP019936"
"309","SRP019936"
"310","SRP019936"
"311","SRP015003"
"312","SRP019936"
"313","SRP019936"
"314","SRP019936"
"315","SRP019936"
"316","SRP019936"
"317","SRP019936"
"318","SRP019936"
"319","SRP019936"
"320","SRP019936"
"321","SRP019936"
"322","SRP019936"
"323","SRP019936"
"324","SRP019936"
"325","SRP019936"
"326","SRP019936"
"327","SRP019936"
"328","SRP019936"
"329","SRP019936"
"330","SRP019936"
"331","SRP019994"
"332","SRP019994"
"333","SRP019994"
"334","SRP019994"
"335","SRP019994"
"336","SRP019994"
"337","SRP019994"
"338","SRP019994"
"339","SRP019936"
"340","SRP019994"
"341","SRP019994"
"342","SRP019994"
"343","SRP019994"
"344","SRP019994"
"345","SRP019994"
"346","SRP019994"
"347","SRP019994"
"348","SRP019994"
"349","SRP019994"
"350","SRP019994"
"351","SRP019994"
"352","SRP019994"
"353","SRP019994"
"354","SRP019994"
"355","SRP019994"
"356","SRP019994"
"357","SRP019994"
"358","SRP019994"
"359","SRP019994"
"360","SRP019994"
"361","SRP019994"
"362","SRP019994"
"363","SRP019994"
"364","SRP019994"
"365","SRP019994"
"366","SRP019994"
"367","SRP019994"
"368","SRP019994"
"369","SRP019994"
"370","SRP019994"
"371","SRP019994"
"372","SRP019994"
"373","SRP019994"
"374","SRP019994"
"375","SRP019994"
"376","SRP019994"
"377","SRP019994"
"378","SRP019994"
"379","SRP019994"
"380","SRP019994"
"381","SRP019994"
"382","SRP019994"
"383","SRP019994"
"384","SRP019994"
"385","SRP019994"
"386","SRP019994"
"387","SRP019994"
"388","SRP019994"
"389","SRP019994"
"390","SRP019994"
"391","SRP019994"
"392","SRP019994"
"393","SRP019994"
"394","SRP019994"
"395","SRP019994"
"396","SRP019994"
"397","SRP019994"
"398","SRP019994"
"399","SRP019994"
"400","SRP019994"
"401","SRP019994"
"402","SRP019994"
"403","SRP019994"
"404","SRP019994"
"405","SRP019994"
"406","SRP019994"
"407","SRP019994"
"408","SRP019994"
"409","SRP019994"
"410","SRP019994"
"411","SRP019994"
"412","SRP019994"
"413","SRP019994"
"414","SRP019994"
"415","SRP019994"
"416","SRP019994"
"417","SRP019994"
"418","SRP019994"
"419","SRP019994"
"420","SRP019994"
"421","SRP019994"
"422","SRP019994"
"423","SRP019994"
"424","SRP019994"
"425","SRP019994"
"426","SRP019994"
"427","SRP019994"
"428","SRP019994"
"429","SRP019994"
"430","SRP032279"
"431","SRP032279"
"432","SRP032279"
"433","SRP032279"
"434","SRP019994"
"435","SRP021917"
"436","SRP021917"
"437","SRP021917"
"438","SRP021917"
"439","SRP021917"
"440","SRP021917"
"441","SRP021917"
"442","SRP021917"
"443","SRP021917"
"444","SRP021917"
"445","SRP021917"
"446","SRP021917"
"447","SRP021917"
"448","SRP022054"
"449","SRP021917"
"450","SRP021917"
"451","SRP022054"
"452","SRP022054"
"453","SRP022054"
"454","SRP022054"
"455","SRP022054"
"456","SRP022054"
"457","SRP023262"
"458","SRP023262"
"459","SRP022054"
"460","SRP023262"
"461","SRP023262"
"462","SRP023262"
"463","SRP023262"
"464","SRP023262"
"465","SRP023262"
"466","SRP023262"
"467","SRP023262"
"468","SRP023262"
"469","SRP023262"
"470","SRP023262"
"471","SRP023262"
"472","SRP023262"
"473","SRP023262"
"474","SRP023262"
"475","SRP023262"
"476","SRP023262"
"477","SRP023262"
"478","SRP023262"
"479","SRP023262"
"480","SRP023262"
"481","SRP023262"
"482","SRP023262"
"483","SRP023262"
"484","SRP023262"
"485","SRP023262"
"486","SRP023262"
"487","SRP023262"
"488","SRP023262"
"489","SRP023262"
"490","SRP023262"
"491","SRP023262"
"492","SRP023262"
"493","SRP023262"
"494","SRP023262"
"495","SRP023262"
"496","SRP023262"
"497","SRP023262"
"498","SRP023262"
"499","SRP023262"
"500","SRP023262"
"501","SRP023262"
"502","SRP023262"
"503","SRP023262"
"504","SRP023262"
"505","SRP023262"
"506","SRP023262"
"507","SRP023262"
"508","SRP023262"
"509","SRP023262"
"510","SRP023262"
"511","SRP023262"
"512","SRP023262"
"513","SRP023262"
"514","SRP023262"
"515","SRP023262"
"516","SRP023262"
"517","SRP023262"
"518","SRP023262"
"519","SRP023262"
"520","SRP023262"
"521","SRP023262"
"522","SRP023262"
"523","SRP023262"
"524","SRP026042"
"525","SRP023262"
"526","SRP023262"
"527","SRP023262"
"528","SRP023262"
"529","SRP023262"
"530","SRP026042"
"531","SRP023262"
"532","SRP026042"
"533","SRP026042"
"534","SRP026042"
"535","SRP026042"
"536","SRP026042"
"537","SRP026042"
"538","SRP026042"
"539","SRP026042"
"540","SRP026042"
"541","SRP026042"
"542","SRP026042"
"543","SRP026042"
"544","SRP026042"
"545","SRP026042"
"546","SRP026042"
"547","SRP026387"
"548","SRP026387"
"549","SRP026387"
"550","SRP026042"
"551","SRP026387"
"552","SRP026387"
"553","SRP026387"
"554","SRP026042"
"555","SRP026042"
"556","SRP026387"
"557","SRP026387"
"558","SRP026387"
"559","SRP026387"
"560","SRP026387"
"561","SRP026387"
"562","SRP026387"
"563","SRP026042"
"564","SRP026387"
"565","SRP027364"
"566","SRP027364"
"567","SRP027530"
"568","SRP027530"
"569","SRP027530"
"570","SRP027364"
"571","SRP027530"
"572","SRP027364"
"573","SRP027530"
"574","SRP027530"
"575","SRP027364"
"576","SRP027364"
"577","SRP027530"
"578","SRP027530"
"579","SRP027364"
"580","SRP027530"
"581","SRP027530"
"582","SRP027530"
"583","SRP027530"
"584","SRP028180"
"585","SRP027364"
"586","SRP028180"
"587","SRP027530"
"588","SRP027530"
"589","SRP027530"
"590","SRP027364"
"591","SRP027530"
"592","SRP027530"
"593","SRP027530"
"594","SRP027364"
"595","SRP028180"
"596","SRP028180"
"597","SRP027364"
"598","SRP027530"
"599","SRP028180"
"600","SRP027530"
"601","SRP028180"
"602","SRP028180"
"603","SRP028180"
"604","SRP028180"
"605","SRP028180"
"606","SRP028180"
"607","SRP028180"
"608","SRP028180"
"609","SRP028180"
"610","SRP028180"
"611","SRP028180"
"612","SRP028180"
"613","SRP028180"
"614","SRP028180"
"615","SRP028180"
"616","SRP028180"
"617","SRP028180"
"618","SRP028180"
"619","SRP028180"
"620","SRP028554"
"621","SRP028554"
"622","SRP028554"
"623","SRP028554"
"624","SRP028594"
"625","SRP028594"
"626","SRP028554"
"627","SRP028554"
"628","SRP028594"
"629","SRP028594"
"630","SRP028594"
"631","SRP028594"
"632","SRP028594"
"633","SRP028594"
"634","SRP028594"
"635","SRP028594"
"636","SRP028594"
"637","SRP028594"
"638","SRP028594"
"639","SRP028594"
"640","SRP028594"
"641","SRP028594"
"642","SRP028594"
"643","SRP028594"
"644","SRP028594"
"645","SRP029434"
"646","SRP029434"
"647","SRP029434"
"648","SRP029434"
"649","SRP029434"
"650","SRP029434"
"651","SRP028594"
"652","SRP028594"
